StationId,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
TN002,20.09,48.01,3.93,8.22,12.65,30.15,0.57,7.93,60.03,0.0,0.0,,94.0
TN003,49.85,,7.63,14.08,17.25,44.92,0.87,6.61,,,,,103.0
TN004,29.44,,7.19,13.43,15.39,,0.64,4.75,22.38,0.0,0.0,,74.0
TN005,27.305,35.16,6.67,20.95,25.23,5.99,0.91,8.71,22.77,0.0,0.0,,74.0
UP012,65.93,,7.11,21.65,12.21,,1.17,4.75,21.465,0.2,0.47,,158.0
UP013,48.25,,2.55,22.89,14.5,,0.52,12.0,32.12,3.75,7.72,,93.0
UP014,85.47,,8.26,26.7,17.77,,1.2,5.45,30.025,0.63,1.55,,213.0
UP015,74.25,,4.47,23.35,15.45,,1.45,8.57,35.12,0.4,0.8,,184.0
UP016,108.91,,10.66,31.22,29.07,29.65,0.9,6.86,,,,,285.0
WB007,47.045,91.4,6.5,20.03,26.240000000000002,15.13,0.45,5.19,28.0,7.54,5.075,1.49,113.0
WB008,31.1,62.595,5.2,9.434999999999999,15.0,14.97,0.38,11.22,28.955,2.76,17.42,0.37,92.0
WB009,35.16,62.83,3.14,23.075,28.38,10.0,0.41,4.3,21.455,4.63,12.145,2.1,82.0
WB010,26.9,52.195,4.3,14.77,20.35,15.15,0.48,5.3,13.445,92.08,112.53999999999999,3.09,69.0
WB011,59.38,119.74000000000001,8.22,35.23,43.17,19.39,0.31,9.64,26.14,3.92,7.59,,124.0
WB012,34.46,65.2,8.72,16.345,24.09,9.35,0.33,6.18,23.880000000000003,4.235,6.59,,85.0
WB013,39.0,67.85,3.56,31.68,35.88,15.36,0.94,4.23,22.23,2.29,9.06,,92.0
